,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_preprocessing__bow__ngram_range,param_select__percentile,param_clf__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
7,0,30,0.8040002822875977,0.06203305589182816,0.13279833793640136,0.056193740967777225,"LogisticRegression(C=1, random_state=0)",1,"(1, 2)",20,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 20}",0.8333333333333334,0.5,0.5,0.6666666666666666,1.0,0.7,0.19436506316151,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
108,0,30,0.7597998142242431,0.052969560577692976,0.11999979019165039,0.033673847857642804,RandomForestClassifier(random_state=0),,"(1, 1)",50,entropy,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'entropy', 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 50}",0.8333333333333334,0.5,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666667,0.23570226039551584,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
95,0,30,0.8534002780914307,0.061861038160115324,0.12839884757995607,0.03751509853668953,RandomForestClassifier(random_state=0),,"(1, 2)",60,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 60}",0.8333333333333334,0.5,0.5,0.5,1.0,0.6666666666666667,0.21081851067789195,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
106,0,30,0.8462002754211426,0.07901165654036445,0.12379961013793946,0.03246836289642082,RandomForestClassifier(random_state=0),,"(1, 1)",30,entropy,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'entropy', 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 30}",0.8333333333333334,0.5,0.5,0.5,1.0,0.6666666666666667,0.21081851067789195,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49,0,30,0.7534001350402832,0.053049929851475344,0.1264012336730957,0.05458866068531952,"LogisticRegression(C=1, random_state=0)",0.5,"(1, 2)",20,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.5, 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 20}",0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,0.18257418583505536,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
61,0,30,1.7133022785186767,0.3295540692122456,0.16959972381591798,0.04991168141687057,"LogisticRegression(C=1, random_state=0)",0.5,"(1, 3)",70,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.5, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 70}",0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,0.18257418583505536,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
70,0,30,0.7759123802185058,0.0761139904648567,0.14059958457946778,0.03435138902769067,"LogisticRegression(C=1, random_state=0)",0.25,"(1, 2)",20,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.25, 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 20}",0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,0.18257418583505536,5,0.9565217391304348,1.0,1.0,1.0,1.0,0.9913043478260869,0.017391304347826077
82,0,30,1.624797534942627,0.3289594391943816,0.16560120582580568,0.04410322649018764,"LogisticRegression(C=1, random_state=0)",0.25,"(1, 3)",70,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.25, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 70}",0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,0.18257418583505536,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0,30,1.6723196029663085,0.3662039734190149,0.16499857902526854,0.040056476923407074,"LogisticRegression(C=1, random_state=0)",1,"(1, 3)",70,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 70}",0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,0.18257418583505536,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
112,0,30,0.8260008811950683,0.0594706870875957,0.1250004768371582,0.031591154682908455,RandomForestClassifier(random_state=0),,"(1, 2)",20,entropy,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'entropy', 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 20}",0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,0.18257418583505536,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
